favorited	contributors	truncated	text	created_at	retweeted	in_reply_to_status_id_str	coordinates	in_reply_to_user_id_str	source	in_reply_to_status_id	in_reply_to_screen_name	id_str	place	retweet_count	geo	id	in_reply_to_user_id
False	None	False	A brainwave idea how not to be arrested for racial and religious hatred http://t.co/l1dnA3rW #EDL via @VickyClementine	Mon Jan 14 12:26:24 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	290797010787917824	None	3	None	290797010787917824	None
False	None	False	@bobpitt4 @ukpakman Nonsense. I've never once promoted you. #EDL	Sun Jan 13 17:18:09 +0000 2013	False	290136634899460096	None	624050955	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290136634899460096	bobpitt4	290508043651796992	None	0	None	290508043651796992	624050955
False	None	False	@Mad_as_Hell_UK I can see no supporting evidence to suggest that.	Sun Jan 13 17:17:14 +0000 2013	False	290142802371805184	None	332778627	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290142802371805184	Mad_as_Hell_UK	290507811010535424	None	0	None	290507811010535424	332778627
False	None	False	@jimmyuk007 @lewisno1fan You're an enormous bore. I don't care what the Express writes, and neither do they. They just want to sell papers.	Sun Jan 13 17:16:01 +0000 2013	False	290461995759706113	None	40048469	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290461995759706113	jimmyuk007	290507506860576768	None	0	None	290507506860576768	40048469
False	None	False	@Guru_Marc @poobiocks Protest outside Wandsworth then... #EDL	Sun Jan 13 11:37:12 +0000 2013	False	290413278016978946	None	305655577	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290413278016978946	Guru_Marc	290422238463815680	None	1	None	290422238463815680	305655577
None	False	RT @antifascist45: Ugly face of UKIP: Sunday Mirror exposes racist and homophobic views of party members http://t.co/pfHQ7Wta  via @Dail ...	None	290402196258963456	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	290402196258963456	11	None	False	None	None	Sun Jan 13 10:17:33 +0000 2013	None	None
None	False	RT @SamMaloneUK: @ErinAngelConnor Pls stop using the armed forces to push hate. They don't like it - http://t.co/05NYXTnl #EDL	None	290225440658976768	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	290225440658976768	5	None	False	None	None	Sat Jan 12 22:35:11 +0000 2013	None	None
False	None	False	[Footage] A rather mute March for England protesting outside Abu Qatada's heavily policed home earlier today. #EDLhttp://t.co/X6q0gz4R	Sat Jan 12 21:43:31 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	290212438064898048	None	3	None	290212438064898048	None
False	None	False	PICTURES: English Defence League extremists hold demonstration in Solihull town centre http://t.co/SMQydRPd #EDL	Sat Jan 12 21:15:10 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	290205300999454720	None	2	None	290205300999454720	None
False	None	False	#EDL Solihull demo declared a disaster: http://t.co/OOZDzYxe	Sat Jan 12 18:02:30 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	290156815763791872	None	4	None	290156815763791872	None
False	None	False	The Mail also cover SWP's dodgy and clandestine DIY judicial process: http://t.co/kSHyj5iT #EDL	Sat Jan 12 16:17:58 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	290130508195704832	None	0	None	290130508195704832	None
False	None	False	#EDL to hope repeat Brighton St George's Day march in Bristol. This time with the help of human shields... http://t.co/PLLoUCCi	Sat Jan 12 15:32:57 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	290119180563406848	None	3	None	290119180563406848	None
False	None	False	@lanieingram @markthomasinfo Whoever said that, it wasn't me.	Sat Jan 12 15:10:12 +0000 2013	False	290110332725243904	None	53108249	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290110332725243904	lanieingram	290113457477525504	None	0	None	290113457477525504	53108249
None	False	RT @markthomasinfo: A better article on the SWP handling of rape allegations http://t.co/qIabAXZS	None	290104465330151424	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	290104465330151424	25	None	False	None	None	Sat Jan 12 14:34:29 +0000 2013	None	None
False	None	False	@poobIocks @bobpitt4 @ukpakman Don't know. I've seen about three people do it. :-S	Sat Jan 12 14:33:46 +0000 2013	False	290103240601780224	None	622656101	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290103240601780224	poobIocks	290104285583269888	None	0	None	290104285583269888	622656101
False	None	False	@bobpitt4 Not being funny, but #EDL  have just been outnumbered AND outwitted by trees, in Solihull: @ukpakman http://t.co/6G072F3p	Sat Jan 12 14:28:33 +0000 2013	False	290100754289672192	None	624050955	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290100754289672192	bobpitt4	290102975936987137	None	3	None	290102975936987137	624050955
False	None	False	@lanieingram @markthomasinfo It's likely that she was 'firmly discouraged' from doing so. You'll get that with countercultures... #EDL	Sat Jan 12 14:22:55 +0000 2013	False	290099281870848000	None	53108249	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290099281870848000	lanieingram	290101556362235904	None	0	None	290101556362235904	53108249
False	None	False	Transcript and commentary from the inside of SWP's central committee at the heart of the rape allegations: http://t.co/WnKcfK7z #EDL	Sat Jan 12 14:09:39 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	290098219382366208	None	2	None	290098219382366208	None
False	None	False	Reassuringly crap #EDL turnout in Solihull.http://t.co/6G072F3p	Sat Jan 12 14:01:17 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	290096113686560768	None	4	None	290096113686560768	None
False	None	False	@markthomasinfo both of them work fine. But my landline connection is sluggish today. 3G is OK though.	Sat Jan 12 13:55:29 +0000 2013	False	290094291567669248	None	23570520	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	290094291567669248	markthomasinfo	290094652982448128	None	0	None	290094652982448128	23570520
False	None	False	So how is today's #EDL demo in Solihull going? 2/2http://t.co/LlA9FUVv	Sat Jan 12 13:45:40 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	290092180071141376	None	4	None	290092180071141376	None
False	None	False	So how is today's #EDL demo in Solihull going? 1/2http://t.co/vyp5ztEp	Sat Jan 12 13:44:02 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	290091769859829761	None	1	None	290091769859829761	None
False	None	False	Ranks of the SWP are split over handling of rape allegation - UK Politics - UK - The Independent http://t.co/cW5A6que via @independent #EDL	Sat Jan 12 13:26:49 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	290087437873586176	None	4	None	290087437873586176	None
False	None	False	Britain's far right collapses amid infighting and legal woes - Channel 4 News http://t.co/mM7lQxhM #EDL	Sat Jan 12 12:09:22 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	290067948603842560	None	1	None	290067948603842560	None
False	None	False	@Official_EDL What were you doing when someone in the world was trying to kill you, just out of interest? http://t.co/D9viGzPe #EDL	Sat Jan 12 09:28:33 +0000 2013	False	289753338201911297	None	410224577	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	289753338201911297	Official_EDL	290027476627910656	None	3	None	290027476627910656	410224577
False	None	False	More #EDL walkouts...  http://t.co/03JcCyaR	Fri Jan 11 22:30:07 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	289861776898666496	None	2	None	289861776898666496	None
None	False	RT @nogodsagoodgod: @JamieCasuals Yes, I wish my life revolved around tacky trainers, fake labels &amp; fighting at football #EDL	Fri Jan 11 21:06:45 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	False	None	289840797925384192	None	5	None	289840797925384192	None
False	None	False	@shaunymoore3n @edl_lolcows He couldn't afford them. He rents his eyebrows.	Fri Jan 11 19:25:21 +0000 2013	False	289810768684273665	None	1048116469	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	289810768684273665	shaunymoore3n	289815277829513217	None	0	None	289815277829513217	1048116469
False	None	False	@EDL_LOLCOWS I think @wearethebrits' James Bond lifestyle is a bit overrated. http://t.co/gabkqzSq #EDL	Fri Jan 11 19:02:19 +0000 2013	False	220906714348781571	None	627450215	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	220906714348781571	EDL_LOLCOWS	289809481867595776	None	0	None	289809481867595776	627450215
None	False	RT @EDL_LOLCOWS: MOOOOOOOOOOOOOOOO @WeAreTheBrits sent me his photo. I fell under his spell #edl http://t.co/tPThTtYY	None	289805247793225728	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	289805247793225728	9	None	False	None	None	Fri Jan 11 18:45:30 +0000 2013	None	None
False	None	False	Angry man forgets he's on the internet. #EDL http://t.co/Wl09A1iI	Fri Jan 11 18:36:51 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	289803073902243840	None	0	None	289803073902243840	None
False	None	False	@maskiflynn Go back to begging. You're shit. #EDL http://t.co/6wNRUQmr	Fri Jan 11 18:34:49 +0000 2013	False	None	None	20406059	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	maskiflynn	289802562444607491	None	0	None	289802562444607491	20406059
False	None	False	@KieranMcCallum Its what happens when you've blocked all the antis, and you're too wordy for the far-right...	Fri Jan 11 17:59:13 +0000 2013	False	289782809655123968	None	893892008	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	289782809655123968	KieranMcCallum	289793602484314114	None	0	None	289793602484314114	893892008
False	None	False	@BigAlexJones Andrew Berwick was the Anglicised pseudonym Anders Breivik gave himself for online correspondence. Nice lady. #EDL	Fri Jan 11 17:55:24 +0000 2013	False	289688797438935040	None	173915718	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	289688797438935040	BigAlexJones	289792639514066945	None	0	None	289792639514066945	173915718
False	None	False	England's Golden Dawn ask supporters not to bring Nazi iconography to a forthcoming demo in Notting Hill. #EDLhttp://t.co/eT6uhXcL	Fri Jan 11 17:14:21 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289782312466534401	None	5	None	289782312466534401	None
False	None	False	Kim Gandy is having difficulty getting people interested in her burblings, so I thought I'd help. #EDLhttp://t.co/SWh0bpNR	Fri Jan 11 17:14:04 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289782240743919616	None	2	None	289782240743919616	None
False	None	False	[Off Topic] The findings of Operation Yewtree have been published and are available at: http://t.co/iVK5wb2a #savile	Fri Jan 11 14:53:05 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	289746758244904960	None	0	None	289746758244904960	None
False	None	False	@hrb264 It's certainly not very big and appears to be mostly CxF. A splinter group, of a splinter group. #EDL	Fri Jan 11 14:35:35 +0000 2013	False	289736454609969152	None	42556289	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	289736454609969152	hrb264	289742355500765184	None	0	None	289742355500765184	42556289
False	None	False	England's Golden Dawn ask supporters to not bring Nazi iconography to a forthcoming demo in Notting Hill. #EDLhttp://t.co/cQGd3ZfW	Fri Jan 11 14:11:26 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289736278843465728	None	7	None	289736278843465728	None
False	None	False	England's Golden Dawn ask supporters to not bring Nazi iconography to a forthcoming demo in Notting Hill. #EDLhttp://t.co/7jeXYYG3	Fri Jan 11 14:11:16 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289736238250983424	None	0	None	289736238250983424	None
False	None	False	Both members of England's Golden Shower call for rise in donations of pork products to foodbank schemes. #EDLhttp://t.co/9J0hgjCm	Fri Jan 11 12:14:16 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289706791330263040	None	5	None	289706791330263040	None
False	None	False	Far-Right Round Up: http://t.co/fiJvJtuf via @MattHopeNotHate #EDL	Fri Jan 11 10:48:05 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	289685103628652545	None	3	None	289685103628652545	None
False	None	False	Looks like 2013 could be an even more difficult year for the far-right: https://t.co/xXWPg8Gl #EDL	Fri Jan 11 10:48:00 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	289685084691382272	None	3	None	289685084691382272	None
False	None	False	#FF @Mo_Randum @LutherBlissetts @NorseFired @SFatajo @edlnews @slatedl @LWeisenburger @Rabbis4HR @paraicobrien @WATBWATCH @NemesisRepublic	Fri Jan 11 10:39:35 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	289682962809774081	None	0	None	289682962809774081	None
False	None	False	Yeah, whatever... #EDLhttp://t.co/X33fPy6D	Fri Jan 11 10:19:00 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289677784970842112	None	1	None	289677784970842112	None
False	None	False	Troubled @british_freedom Spokesperson gives thumbs up to Nazi salutes from #EDL members: http://t.co/gFvNAwBR via @VickyClementine	Thu Jan 10 23:47:11 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	289518782735601667	None	3	None	289518782735601667	None
False	None	False	Probably something that a very weak #EDL don't want to be told, right now.http://t.co/phYu6hoq	Thu Jan 10 19:14:12 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289450083009839104	None	1	None	289450083009839104	None
False	None	False	'Unite the Right 2013' update. #EDLhttp://t.co/kuTfcEqU	Thu Jan 10 18:45:52 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289442953716436992	None	0	None	289442953716436992	None
False	None	False	Yeah Warren. Because marching in Brighton worked so well last time, didn't it? #EDLhttp://t.co/UZ4QzfhI	Thu Jan 10 18:38:30 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	289441100781977601	None	0	None	289441100781977601	None
False	None	False	NWI's Cameron Smith threatens to target women http://t.co/Ojj0dVDf #EDL	Thu Jan 10 18:18:34 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	289436083865919489	None	4	None	289436083865919489	None
False	None	False	Casuals United reveal truth behind the Downes documents and the BNP http://t.co/Cn3DcoYJ #EDL	Thu Jan 10 09:35:12 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	289304374461755392	None	3	None	289304374461755392	None
False	None	False	How to speak #EDL: http://t.co/BKjIYkDk	Thu Jan 10 09:31:22 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	289303409268510720	None	6	None	289303409268510720	None
False	None	False	HOPE not hate blog: Violent Thug Behind #EDL Demo http://t.co/niqdipVQ	Thu Jan 10 02:57:27 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	289204276683759616	None	2	None	289204276683759616	None
False	None	False	Casuals United reveal truth behind the Downes documents and the #BNP: http://t.co/iG81tMuW #EDL	Wed Jan 09 19:22:22 +0000 2013	False	None	None	None	<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	None	None	289089753226297344	None	4	None	289089753226297344	None
False	None	False	Of course, when someone decides to leave the far-right, they don't behave remotely like a cult at all... #EDL http://t.co/Izde3ioy	Wed Jan 09 18:21:16 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	289074377390186496	None	4	None	289074377390186496	None
False	None	False	Are you a failure? If so, you may find some comfort in this poster... #EDL http://t.co/v7l3QKwY	Wed Jan 09 18:09:39 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	289071450600636416	None	5	None	289071450600636416	None
None	False	RT @MissLButtercup: @pooblocks @EDLNewsXtra &lt;&lt; Here's a classic from #edl loon @ublocks Somebody dared use the BFP tag. Stupid Squ ...	Wed Jan 09 15:58:57 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	False	None	289038558239543297	None	5	None	289038558239543297	None
False	None	False	“@ublocks: @pooblocks you people are really running scared of the EDL. #BFP” &lt; Estimated attendance of last national #EDL demo: 80.	Wed Jan 09 15:23:57 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	289029750150811648	None	4	None	289029750150811648	None
None	False	RT @sunny_hundal: Kudos to whoever made this about the EDL's Tommy Robinson (story here: http://t.co/mNfXNsMC) http://t.co/5r0cEVUk	None	288994377735471104	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	288994377735471104	121	None	False	None	None	Wed Jan 09 13:03:23 +0000 2013	None	None
False	None	False	Go easy on this one. He's new. #EDL #BNPhttp://t.co/Uf5Lq88O	Wed Jan 09 12:42:19 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288989074054856704	None	1	None	288989074054856704	None
False	None	False	It took him ages to find the Nazi font, as well... #EDLhttp://t.co/ul9OSTQq	Wed Jan 09 10:53:56 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288961801910104064	None	6	None	288961801910104064	None
False	None	False	Yeah, good luck with that one, John... #EDLhttp://t.co/OwCTyjyC	Wed Jan 09 07:54:03 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288916531067375616	None	2	None	288916531067375616	None
False	None	False	The Army Rumour Service discuss Combined Ex Forces, who later join in on the thread themselves. Essential reading! http://t.co/eTKexkGV #EDL	Tue Jan 08 18:09:58 +0000 2013	False	None	None	None	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	288709143697702912	None	3	None	288709143697702912	None
False	None	False	Kelly Forster. Not all white in the head... #EDLhttp://t.co/z3utJvfp	Tue Jan 08 16:03:09 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288677227690864641	None	2	None	288677227690864641	None
False	None	False	The hopes, dreams and aspirations of Chris Rice. #EDLhttp://t.co/BvTSHESU	Tue Jan 08 15:58:09 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288675973111615488	None	2	None	288675973111615488	None
False	None	False	http://t.co/Sy7GPbIM - Further reading: http://t.co/oOmGmzy4 #EDL	Tue Jan 08 15:48:02 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	288673423826223104	None	0	None	288673423826223104	None
False	None	False	#EDL discuss gays. #LGBT #Homophobiahttp://t.co/RGJ1ABIQ	Tue Jan 08 13:22:49 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288636882001203200	None	3	None	288636882001203200	None
False	None	False	Careful who you employ to build that new porch... #EDLhttp://t.co/Sy7GPbIM	Tue Jan 08 11:02:55 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288601671393755136	None	5	None	288601671393755136	None
False	None	False	Human Bean. FFS. #EDLhttp://t.co/8YjMhtn5	Tue Jan 08 10:50:17 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288598495068319744	None	0	None	288598495068319744	None
None	False	RT @VickyClementine: @EDLNewsXtra @MoAnsar @TellMamaUK  A letter to America http://t.co/HmhHxHtJ Please share #EDL #TERRORISM	None	288587258582413312	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	False	None	None	288587258582413312	4	None	False	None	None	Tue Jan 08 10:05:38 +0000 2013	None	None
False	None	False	Lorraine Dobson takes lunch. #EDLhttp://t.co/XYMOxm8Y	Tue Jan 08 10:03:24 +0000 2013	False	None	None	None	<a href="http://itunes.apple.com/us/app/twitpic/id523490954?mt=8&uo=4" rel="nofollow">Twitpic on iOS</a>	None	None	288586696373719040	None	0	None	288586696373719040	None
False	None	False	#EDL suddenly adopt a soft stance on immigration on hearing of the jailing of their illegal immigrant leader... http://t.co/7TpuedYj	Mon Jan 07 21:11:35 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	288392462572060672	None	10	None	288392462572060672	None
False	None	False	Tommy/Stephen/Peter/Paul/Mary now back at Wandsworth. Which he particularly loathed. Happy Days. #EDL http://t.co/9teaZvi2	Mon Jan 07 20:28:20 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	288381577883443201	None	0	None	288381577883443201	None
None	False	RT @slatedl: Aww, cute! #EDL http://t.co/EhvunCrb http://t.co/TF1NE4vm	None	288378925908901889	web	False	None	None	288378925908901889	1	None	False	None	None	Mon Jan 07 20:17:48 +0000 2013	None	None
False	None	False	The #EDL really know their jails, don't they?  http://t.co/T7W8n8B7	Mon Jan 07 20:16:10 +0000 2013	False	None	None	None	<a href="http://twitpic.com" rel="nofollow">Twitpic</a>	None	None	288378514405720064	None	0	None	288378514405720064	None
